"produktnr","navn","pris","bilde","kategori","link","tekstinfo","allergen","valg"
"1","Vårrull","21","food1.jpg","1","../foods/varrull.html","Crispy vårruller. Laget etter en gammel familieoppskrift. Hjemmelaget sursøt chilisaus følger med. To varianter. Kylling og vegetar","Allergen: f, s, b","2"
"2","Chicken Nuggets 5 stk (Inkludert ris)","69","food2.jpg","1","../foods/chicken_nuggets.html","Sprøstekte Chicken Nuggets servert med sursøt chilisaus og Jasminris. Vil du ha andre typer dipping kan du kjøpe det for kr 4,-","Allergen: f, s, b","0"
"3","Innbakt Scampi Tempura 6 stk. (Inkludert Ris)","79","food3.jpg","1","../foods/innbakt_scampi.html","6 stk innbakt marinert Scampi. Serveres med en porsjon Jasminris og sursøt chilisaus.","Allergen: f, s, b","0"
"4","Pommes Frites","27","food4.jpg","1","../foods/pomme_frites.html","180 gram Pommes Frites.","Allergen: f, s, b","0"
"5","Ekstra Ris","20","food5.jpg","1","../foods/ekstra_ris.html","Kokt Jasminris. Kleberlig, slik den skal være.","Allergen: f, s, b","0"
"6","Pad Thai","165","food6.jpg","2","../foods/pad_thai.html","Pad Thai. Kanskje Thailands mest lagde middagsrett. Nytes med et hint av lime juice og knuste
                    peanøtter. Scampi, svin eller kylling. Like godt, alle tre.","Allergen: f, s, b","1"
"7","Sursøt Saus","165","food7.jpg","2","../foods/sursøt_saus.html","Mange kjenner denne fra besøk i Asia restauranter. Kjøtt i sursøt saus med knasende friske wok grønnsaker. Fire varianter. Kylling, svin, innbakt svin og scampi.","Allergen: f, s, b","3"
"8","Green Curry","165","food8.jpg","2","../foods/green_curry.html","Klassisk Thai green curry med kjøtt eller Scampi. En ""karristerk"" rett med mye smak. Tre varianter. Kylling, biff og svin.","Allergen: f, s, b","4"
"9","Kylling Med Cashewnøtter","169","food9.jpg","2","../foods/kylling_cashew.html","Marinert kyllingfilet, løk, knasende friske grønnsaker. Vår egen hjemmelagede saus. Toppet med ristede cashewnøtter. Denne retten blir du hekta på!!","Allergen: f, s, b","0"
"10","Chop Suey","165","food10.jpg","2","../foods/chop_suey.html","En klassiker. Men ikke Thai. Dette er en kinesisk rett. Uansett. Hoisin saus, friske grønnsaker og første klasse marinert kjøtt gjør denne til en favoritt blant mange.","Allergen: f, s, b","5"
"11","Stekte Nudler","145","food11.jpg","2","../foods/stekte_nudler.html","Stekte eggnudler med kjøtt og grønnsaker","Allergen: f, s, b","6"
"12","Stekt Ris","145","food12.jpg","2","../foods/stekt_ris.html","En streetfood klassiker fra Thailand. Stekt jasminris med marinert kjøtt og grønnsaker. Mettende og rimelig. Fire varianter. Kylling, biff, svin og scampi","Allergen: f, s, b","7"
"13","Paneng Red Curry","145","food13.jpg","2","../foods/paneng_curry.html","En klassisk thailandsk rett med smak av rød curry, chili og kaffirblad. Litt cremet konsistens med kokosmelk. En av vår mest solgte retter. Fire varianter. Kylling, biff, svin og scampi","Allergen: f, s, b","7"
"14","Thai Wok","165","food14.jpg","2","../foods/thai_wok.html","Wok med dagsferske grønnsaker. Vi benytter økologiske grønnsaker i den grad vi kan. Lages med vår hjemmelagede woksaus, blandet med øl, som det skal gjøres. Fire varianter. Kylling, biff, svin eller scampi.","Allergen: f, s, b","7"
"15","Ekstra Ris","20","food5.jpg","2","../foods/ekstra_ris.html","Kokt Jasminris. Kleberlig, slik den skal være.","Allergen: f, s, b","0"
"16","Chilisaus Sur Søt","10","food17.jpg","3","../foods/chilisaus.html","Sur søt chilisaus. Egentlig ikke sterk i det hele tatt. Et ""must"" på vårruller og Chicken Nuggets.","Allergen: f, s, b","0"
"17","Chili Mayo (Chilimajones) Beger","10","food18.jpg","3","../foods/chili_mayo.html","Chilimajones. 30 ml i beger.","Allergen: f, s, b","0"
"18","Soyasaus Beger","8","food19.jpg","3","../foods/soya_saus.html",,,"0"
"19","Rømmedressing","10","food20.jpg","3","../foods/romme_dressing.html","Rømmedressing til Pizza. Beger a 30 ml.","Allergen: f, s, b","0"
"20","Remulade","10","food21.jpg","3","../foods/remulade.html","Remulade 30 ml. Kjempegodt på Pommes Frites.","Allergen: f, s, b","0"
"21","Cola Uten Sukker 33 cl boks","30","food15.jpg","4","../foods/cola_uten.html","Trenger ingen beskrivelse. Pris inkluderer pant kr 2,-","Allergen: f, s, b","0"
"22","Cola Original 33 cl boks","30","food16.jpg","4","../foods/cola.html"," Trenger ingen beskrivelse. Pris inkluderer pant kr 2,-","Allergen: f, s, b","0"
"23","Chili Mayo (Chilimajones) Beger","10","food18.jpg","5","../foods/chili_mayo.html","Chilimajones. 30 ml i beger.","Allergen: f, s, b","0"
"24","Rømmedressing","10","food20.jpg","5","../foods/romme_dressing.html","Rømmedressing til Pizza. Beger a 30 ml.","Allergen: f, s, b","0"
"25","Remulade","10","food21.jpg","5","../foods/remulade.html","Remulade 30 ml. Kjempegodt på Pommes Frites.","Allergen: f, s, b","0"
